X,Y,id_0,id,FacilityID,Full_Name,Reg_Rd_No,L_LADD,L_HADD,R_LADD,R_HADD,Left_Mun,Right_Mun,Status,Owner,Managed_By,LifeCycle,vertex_index,vertex_part,vertex_part_index,distance,angle,icon_url,auxiliary_storage_labeling_labelrotation
-79.2648242602045,43.1709411469337,"3854","901","20366",Ontario Street,"42","331","379","346","400",St. Catharines,St. Catharines,Public Maintained Road,RMN,RMN,Active,"0","0","0",0,343.160735970429,./0.png,
-79.2203883069178,43.125267012317,"3997","958","06062",Saint David's Road,"71","195","203","176","188",Thorold,St. Catharines,Public Maintained Road,RMN,RMN,Active,"1","0","1",178.960924103639,242.597035270527,./0.png,
-79.2370129139944,43.2073683252808,"4019","968","05388",Lakeshore Road,"87","161","179","174","184",St. Catharines,St. Catharines,Public Maintained Road,RMN,RMN,Active,"0","0","0",0,52.9816120578857,./0.png,
-79.2370129139944,43.2073683252808,"4022","969","05387",Lakeshore Road,"87","157","159","170","172",St. Catharines,St. Catharines,Public Maintained Road,RMN,RMN,Active,"1","0","1",54.4428612857885,55.174722044267,./0.png,
-79.239827896397,43.1478538928704,"4103","987","04983",Glenridge Avenue,"50","101","107","102","102",St. Catharines,St. Catharines,Public Maintained Road,RMN,RMN,Active,"0","0","0",0,171.975159838323,./0.png,
-79.239827896397,43.1478538928704,"4106","988","04982",Glenridge Avenue,"50","85","99","84","92",St. Catharines,St. Catharines,Public Maintained Road,RMN,RMN,Active,"1","0","1",137.784857114164,172.631483199083,./0.png,
-79.2597164677536,43.1395013721362,"4131","1001","05607",Louth Street,"72","0","0","0","0",St. Catharines,St. Catharines,Public Maintained Road,RMN,RMN,Active,"0","0","0",0,356.973067797091,./0.png,
-79.5721549118023,43.1931155278546,"4316","1049","17192",Main Street West,"81","151","245","144","242",Grimsby,Grimsby,Public Maintained Road,RMN,RMN,Active,"3","0","3",228.847762820896,270.133053046069,./0.png,
-79.2708434813765,43.1683300259188,"4356","1059","26858",Martindale Road,"38","133","149","132","158",St. Catharines,St. Catharines,Public Maintained Road,RMN,RMN,Active,"2","0","2",121.539907371835,325.913420775662,./0.png,
-79.2390286538577,43.1185145128961,"4366","1062","19384",Sir Isaac Brock Way,"71","0","0","0","0",St. Catharines,St. Catharines,Public Maintained Road,RMN,RMN,Active,"4","0","4",184.156680328904,211.841362580688,./0.png,
-79.2261446631304,43.1952482051199,"4374","1064","20353",Niagara Street,"48","533","585","528","590",St. Catharines,St. Catharines,Public Maintained Road,RMN,RMN,Active,"1","0","1",337.705354443603,24.1244568114108,./0.png,
-79.2393831496746,43.162924489088,"4379","1066","30522",Niagara Street,"48","0","0","8","32",St. Catharines,St. Catharines,Public Maintained Road,RMN,RMN,Active,"1","0","1",39.1010053070947,29.2826219102562,./0.png,
-79.4768612401098,43.1747399128824,"4395","1072","02858",Ontario Street,"18","4422","4474","4415","4475",Lincoln,Lincoln,Public Maintained Road,RMN,RMN,Active,"2","0","2",281.144935481557,356.736481059552,./0.png,
-79.6046954840476,43.0602821518458,"4485","1089","18258",Smithville Road,"14","2000","2298","2001","2299",West Lincoln,West Lincoln,Public Maintained Road,RMN,RMN,Active,"0","0","0",0,32.5930943480103,./0.png,
-79.2445293279514,43.1550580605627,"4657","1141","24949",Westchester Crescent,"91","0","0","0","0",St. Catharines,St. Catharines,Public Maintained Road,RMN,RMN,Active,"2","0","2",53.7331455589577,81.5727736824897,./0.png,
-79.2259912170096,43.170764218261,"4715","1151","25055",Welland Avenue,"77","335","339","380","382",St. Catharines,St. Catharines,Public Maintained Road,RMN,RMN,Active,"0","0","0",0,63.0164355745876,./0.png,
-79.6244451646952,43.0598185776065,"4762","1157","16195",Bismark Road,"65","7900","8498","7901","8499",West Lincoln,West Lincoln,Public Maintained Road,RMN,RMN,Active,"1","0","1",536.572192067241,297.549768459107,./0.png,
-79.2648242602045,43.1709411469337,"4798","1161","05009",Ontario Street,"42","311","329","308","344",St. Catharines,St. Catharines,Public Maintained Road,RMN,RMN,Active,"1","0","1",298.490886543598,343.354000532493,./0.png,
-79.2498634528343,43.14911216658,"4810","1165","04985",St. Paul Street West,"81","51","55","52","56",St. Catharines,St. Catharines,Public Maintained Road,RMN,RMN,Active,"0","0","0",0,232.913369312118,./0.png,
-79.3993209627363,43.0431231909209,"4834","1172","17129",Highway 20,"20","3400","3898","3401","3899",West Lincoln,West Lincoln,Public Maintained Road,RMN,RMN,Active,"7","0","7",924.252370068342,268.010392091333,./0.png,
