X,Y,id,ID_1,Name,icon_url
-79.2333165427573,43.1051894538076,"1","1",Lake Gibson,./0.png
-79.3430183278227,42.9714254904474,"2","2",Welland River,./0.png
-79.0738011016661,43.1479371273065,"3","3",Sir Adem Beck Power Plant Resevoir,./0.png
-79.3774412149979,43.1786339872922,"4","5",Jordon Harbour,./0.png
